"chunk_id","chunk","frequency","createduser","createddate","updateduser","updateddate","deleteduser","deleteddate","isdeleted"
"1","'s a bad week","2","admin","25/11/2025 15:35:15.94052",,,,,"f"
"2","'s a beautiful cake","2","admin","25/11/2025 15:35:15.94052",,,,,"f"
"3","'s a beautiful night","2","admin","25/11/2025 15:35:15.94052",,,,,"f"
"4","'s a big bit","2","admin","25/11/2025 15:35:15.94052",,,,,"f"
"5","'s a big change","2","admin","25/11/2025 15:35:15.94052",,,,,"f"
"6","'s a big city","2","admin","25/11/2025 15:35:15.94052",,,,,"f"
"7","'s a big clock","2","admin","25/11/2025 15:35:15.94052",,,,,"f"
"8","'s a big dog","2","admin","25/11/2025 15:35:15.94052",,,,,"f"
"9","'s a big eye","2","admin","25/11/2025 15:35:15.94052",,,,,"f"
"10","'s a big girl","2","admin","25/11/2025 15:35:15.94052",,,,,"f"
"11","'s a big job","2","admin","25/11/2025 15:35:15.94052",,,,,"f"
"12","'s a big park","2","admin","25/11/2025 15:35:15.94052",,,,,"f"
"13","'s a big part","2","admin","25/11/2025 15:35:15.94052",,,,,"f"
"14","'s a big piece","2","admin","25/11/2025 15:35:15.94052",,,,,"f"
"15","'s a big school","2","admin","25/11/2025 15:35:15.94052",,,,,"f"
"16","'s a big storm","2","admin","25/11/2025 15:35:15.94052",,,,,"f"
"17","'s a big vote","2","admin","25/11/2025 15:35:15.94052",,,,,"f"
"18","'s a big world","2","admin","25/11/2025 15:35:15.94052",,,,,"f"
"19","'s a cool name","2","admin","25/11/2025 15:35:15.94052",,,,,"f"
"20","'s a crazy idea","2","admin","25/11/2025 15:35:15.94052",,,,,"f"
"21","'s a dangerous place","2","admin","25/11/2025 15:35:15.94052",,,,,"f"
"22","'s a different colour","2","admin","25/11/2025 15:35:15.94052",,,,,"f"
"23","'s a different man","2","admin","25/11/2025 15:35:15.94052",,,,,"f"
"24","'s a direct order","2","admin","25/11/2025 15:35:15.94052",,,,,"f"
"25","'s a fine line","2","admin","25/11/2025 15:35:15.94052",,,,,"f"
"26","'s a fine night","2","admin","25/11/2025 15:35:15.94052",,,,,"f"
"27","'s a fine thing","2","admin","25/11/2025 15:35:15.94052",,,,,"f"
"28","'s a funny tree","2","admin","25/11/2025 15:35:15.94052",,,,,"f"
"29","'s a good book","2","admin","25/11/2025 15:35:15.94052",,,,,"f"
"30","'s a good cook","2","admin","25/11/2025 15:35:15.94052",,,,,"f"
"31","'s a good egg","2","admin","25/11/2025 15:35:15.94052",,,,,"f"
"32","'s a good size","2","admin","25/11/2025 15:35:15.94052",,,,,"f"
"33","'s a good word","2","admin","25/11/2025 15:35:15.94052",,,,,"f"
"34","'s a good worker","2","admin","25/11/2025 15:35:15.94052",,,,,"f"
"35","'s a great game","2","admin","25/11/2025 15:35:15.94052",,,,,"f"
"36","'s a great picture","2","admin","25/11/2025 15:35:15.94052",,,,,"f"
"37","'s a great place","2","admin","25/11/2025 15:35:15.94052",,,,,"f"
"38","'s a great question","2","admin","25/11/2025 15:35:15.94052",,,,,"f"
