"chunk_syntagm_id","chunk_id","keyword","syntagmid","createduser","createddate","updateduser","updateddate","deleteduser","deleteddate","isdeleted"
"1","390","accept","33","admin","25/11/2025 15:44:17.661766",,,,,"f"
"2","8150","accept","34","admin","25/11/2025 15:44:17.661766",,,,,"f"
"3","1024","accident","6","admin","25/11/2025 15:44:17.661766",,,,,"f"
"4","2021","accident","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"5","2481","accident","7","admin","25/11/2025 15:44:17.661766",,,,,"f"
"6","3163","accident","4","admin","25/11/2025 15:44:17.661766",,,,,"f"
"7","11161","accident","4","admin","25/11/2025 15:44:17.661766",,,,,"f"
"8","7726","accident","4","admin","25/11/2025 15:44:17.661766",,,,,"f"
"9","3695","accident","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"10","8841","action","5","admin","25/11/2025 15:44:17.661766",,,,,"f"
"11","936","action","9","admin","25/11/2025 15:44:17.661766",,,,,"f"
"12","1433","action","4","admin","25/11/2025 15:44:17.661766",,,,,"f"
"13","1434","action","8","admin","25/11/2025 15:44:17.661766",,,,,"f"
"14","3777","add","35","admin","25/11/2025 15:44:17.661766",,,,,"f"
"15","6282","adult","20","admin","25/11/2025 15:44:17.661766",,,,,"f"
"16","9840","adult","5","admin","25/11/2025 15:44:17.661766",,,,,"f"
"17","1435","adult","33","admin","25/11/2025 15:44:17.661766",,,,,"f"
"18","655","adult","34","admin","25/11/2025 15:44:17.661766",,,,,"f"
"19","824","adult","35","admin","25/11/2025 15:44:17.661766",,,,,"f"
"20","313","afford","34","admin","25/11/2025 15:44:17.661766",,,,,"f"
"21","364","afford","34","admin","25/11/2025 15:44:17.661766",,,,,"f"
"22","6165","afford","34","admin","25/11/2025 15:44:17.661766",,,,,"f"
"23","10315","afford","34","admin","25/11/2025 15:44:17.661766",,,,,"f"
"24","2973","afraid","30","admin","25/11/2025 15:44:17.661766",,,,,"f"
"25","11327","afraid","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"26","11134","afraid","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"27","10003","afraid","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"28","11911","afraid","7","admin","25/11/2025 15:44:17.661766",,,,,"f"
"29","10921","afraid","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"30","12403","afraid","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"31","7209","afraid","8","admin","25/11/2025 15:44:17.661766",,,,,"f"
"32","5246","afraid","5","admin","25/11/2025 15:44:17.661766",,,,,"f"
"33","11229","afraid","6","admin","25/11/2025 15:44:17.661766",,,,,"f"
"34","11441","afraid","6","admin","25/11/2025 15:44:17.661766",,,,,"f"
"35","12412","afraid","6","admin","25/11/2025 15:44:17.661766",,,,,"f"
"36","5914","afraid","5","admin","25/11/2025 15:44:17.661766",,,,,"f"
"37","2080","age","20","admin","25/11/2025 15:44:17.661766",,,,,"f"
"38","7390","age","20","admin","25/11/2025 15:44:17.661766",,,,,"f"
"39","9953","age","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"40","9095","age","20","admin","25/11/2025 15:44:17.661766",,,,,"f"
"41","3292","age","4","admin","25/11/2025 15:44:17.661766",,,,,"f"
"42","3568","age","20","admin","25/11/2025 15:44:17.661766",,,,,"f"
"43","4076","age","4","admin","25/11/2025 15:44:17.661766",,,,,"f"
"44","201","age","8","admin","25/11/2025 15:44:17.661766",,,,,"f"
"45","5588","age","10","admin","25/11/2025 15:44:17.661766",,,,,"f"
