"syntagm_id","syntagm_name","target_part_of_speech","createduser","createddate","updateduser","updateddate","deleteduser","deleteddate","isdeleted"
"1","NN of NN","noun","admin","25/11/2025 15:27:57.692576",,,,,"f"
"2","NN IN DT NN","noun","admin","25/11/2025 15:27:57.69561",,,,,"f"
"3","DT JJ NN NN","adjective","admin","25/11/2025 15:27:57.696201",,,,,"f"
"4","IN DT NN NN","noun","admin","25/11/2025 15:27:57.696567",,,,,"f"
"5","DT NN IN NN","noun","admin","25/11/2025 15:27:57.696959",,,,,"f"
"6","DT NN IN DT NN","noun","admin","25/11/2025 15:27:57.697215",,,,,"f"
"7","RB IN DT NN","noun","admin","25/11/2025 15:27:57.697436",,,,,"f"
"8","VBZ DT JJ NN","noun","admin","25/11/2025 15:27:57.697656",,,,,"f"
"9","PP VVP DT NN","noun","admin","25/11/2025 15:27:57.697912",,,,,"f"
"10","DT JJ NN NN","noun","admin","25/11/2025 15:27:57.698108",,,,,"f"
"11","PP VVP DT NN","verb","admin","25/11/2025 15:27:57.698297",,,,,"f"
"12","VV DT JJ NN","verb","admin","25/11/2025 15:27:57.698486",,,,,"f"
"17","NNS IN DT NN","noun","admin","25/11/2025 15:27:57.698701",,,,,"f"
"18","DT NN IN NNS","noun","admin","25/11/2025 15:27:57.698887",,,,,"f"
"19","DT RB JJ NN","adjective","admin","25/11/2025 15:27:57.699118",,,,,"f"
"20","NN IN PPZ NN","noun","admin","25/11/2025 15:27:57.699318",,,,,"f"
"27","NN CC DT NN","noun","admin","25/11/2025 15:27:57.699509",,,,,"f"
"30","PP VBZ RB JJ","adjective","admin","25/11/2025 15:27:57.699712",,,,,"f"
"32","VVG IN DT NN","verb","admin","25/11/2025 15:27:57.699953",,,,,"f"
"33","PP VVP RB VV","verb","admin","25/11/2025 15:27:57.700136",,,,,"f"
"34","PP MD RB VV","verb","admin","25/11/2025 15:27:57.700319",,,,,"f"
"35","RB PP MD VV","verb","admin","25/11/2025 15:27:57.700568",,,,,"f"
"36","PP VVP DT JJ Sth","adjective","admin","25/11/2025 15:27:57.700829",,,,,"f"
"37","PP VV* DT JJ NN*","verb","admin","25/11/2025 15:27:57.701076",,,,,"f"
"39","word MD V* DT NN","modal verb","admin","25/11/2025 15:27:57.701326",,,,,"f"
"40","word VHP VVN DT NN","verb","admin","25/11/2025 15:27:57.701596",,,,,"f"
"41","PP VVD PPZ NN","noun","admin","25/11/2025 15:27:57.70182",,,,,"f"
"42","RB PP VBZ JJ","adjective","admin","25/11/2025 15:27:57.702016",,,,,"f"
"44","VBZ RB DT NN","noun","admin","25/11/2025 15:27:57.702233",,,,,"f"
"64","IN DT JJ NN","adjective","admin","25/11/2025 15:27:57.702464",,,,,"f"
